itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLH5,Norfolk,2019,230000.0,260497.5,225000.0,299995.0,211000.0,180000.0,139000.0,15918
TLH6,Suffolk,2019,245000.0,285000.0,238000.0,344995.0,232000.0,193000.0,149000.0,11781
TLI3,Inner London - West,2019,750000.0,955250.0,720000.0,2888000.0,1530000.0,1200000.0,650000.0,11704
TLI4,Inner London - East,2019,500000.0,599000.0,480000.0,1175000.0,838000.0,635000.0,475000.0,20971
TLI5,Outer London - East and North East,2019,395000.0,465000.0,385000.0,640000.0,447500.0,399000.0,318000.0,18144
TLI6,Outer London - South,2019,424950.0,473750.0,420000.0,730000.0,522000.0,421000.0,311500.0,15528
TLI7,Outer London - West and North West,2019,475000.0,445000.0,485000.0,880000.0,580000.0,540000.0,380000.0,17462
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2019,355000.0,389000.0,345000.0,525000.0,353750.0,301000.0,234000.0,34870
TLJ2,"Surrey, East and West Sussex",2019,357000.0,385000.0,352000.0,550000.0,375000.0,320000.0,230603.0,44491
TLJ3,Hampshire and Isle of Wight,2019,282000.0,355000.0,275000.0,440000.0,295000.0,243000.0,170000.0,30755
TLJ4,Kent,2019,288000.0,358995.0,280000.0,447500.0,309995.0,250000.0,185000.0,27583
TLK3,Cornwall and Isles of Scilly,2019,230000.0,246950.0,226000.0,314950.0,215000.0,181500.0,160000.0,10279
TLK4,Devon,2019,234000.0,275000.0,225000.0,345000.0,230000.0,190000.0,140000.0,21255
TLK5,West of England,2019,280000.0,325995.0,273000.0,424000.0,288000.0,265000.0,214000.0,14269
TLK6,"North Somerset, Somerset and Dorset",2019,262500.0,293000.0,260000.0,375000.0,250000.0,210000.0,170000.0,26188
TLK7,Gloucestershire and Wiltshire,2019,255000.0,315000.0,245000.0,375000.0,245487.5,206250.0,145000.0,22344
TLL3,North Wales,2019,160000.0,216450.0,157500.0,225000.0,149000.0,120000.0,114475.0,10431
TLL4,Mid and South West Wales,2019,155000.0,190000.0,152000.0,229950.0,137000.0,112500.0,110000.0,12559
TLL5,South East Wales,2019,168500.0,248995.0,160000.0,285000.0,175000.0,127000.0,131000.0,22904
TLC3,Tees Valley,2020,145000.0,229950.0,133500.0,235000.0,134000.0,84000.0,79000.0,8831
TLC4,"Northumberland, Durham and Tyne & Wear",2020,152000.0,224995.0,140000.0,258995.0,149950.0,110000.0,92000.0,25480
TLD1,Cumbria,2020,176000.0,241766.5,170000.0,282500.0,167500.0,114875.0,130000.0,7924
TLD3,Greater Manchester,2020,186997.5,239995.0,178000.0,302500.0,195000.0,138000.0,177000.0,34336
TLD4,Lancashire,2020,160000.0,242750.0,150000.0,270950.0,159995.0,103000.0,92500.0,21761
TLD6,Cheshire,2020,234995.0,292500.0,220000.0,342000.0,202500.0,164995.0,133000.0,15208
TLD7,Merseyside,2020,160050.0,197995.0,156000.0,275495.0,173000.0,112000.0,110000.0,18101
TLE1,East Yorkshire and Northern Lincolnshire,2020,160000.0,224972.5,152000.0,263500.0,150000.0,110000.0,91797.0,12908
TLE2,North Yorkshire,2020,242500.0,299950.0,233500.0,345000.0,224995.0,192550.0,160000.0,12851
TLE3,South Yorkshire,2020,153000.0,179995.0,150000.0,247500.0,144550.0,120000.0,107250.0,16682
TLE4,West Yorkshire,2020,172500.0,239950.0,165000.0,305000.0,175500.0,130000.0,122500.0,29408
TLF1,Derbyshire and Nottinghamshire,2020,187995.0,250000.0,178000.0,280000.0,165000.0,135000.0,115000.0,30759
TLF2,"Leicestershire, Rutland and Northamptonshire",2020,236000.0,299000.0,225000.0,340000.0,217495.0,180000.0,127000.0,24380
