itl2_code,itl2_name,year,gdhi_per_head_gbp
TLH2,Bedfordshire and Hertfordshire,2003,14981
TLH3,Essex,2003,13899
TLH4,Cambridgeshire and Peterborough,2003,13238
TLH5,Norfolk,2003,11692
TLH6,Suffolk,2003,12460
TLI3,Inner London - West,2003,25733
TLI4,Inner London - East,2003,14376
TLI5,Outer London - East and North East,2003,13910
TLI6,Outer London - South,2003,16216
TLI7,Outer London - West and North West,2003,16654
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2003,15849
TLJ2,"Surrey, East and West Sussex",2003,16206
TLJ3,Hampshire and Isle of Wight,2003,13781
TLJ4,Kent,2003,13618
TLK3,Cornwall and Isles of Scilly,2003,11657
TLK4,Devon,2003,12114
TLK5,West of England,2003,13132
TLK6,"North Somerset, Somerset and Dorset",2003,13467
TLK7,Gloucestershire and Wiltshire,2003,13703
TLL3,North Wales,2003,11731
TLL4,Mid and South West Wales,2003,11236
TLL5,South East Wales,2003,11351
TLM0,Eastern Scotland,2003,11782
TLM1,East Central Scotland,2003,13534
TLM2,Highlands and Islands,2003,10810
TLM3,West Central Scotland,2003,11735
TLM5,North Eastern Scotland,2003,13040
TLM9,Southern Scotland,2003,11460
TLN0,Northern Ireland,2003,10770
TLC3,Tees Valley,2004,11149
TLC4,"Northumberland, Durham and Tyne & Wear",2004,11563
TLD1,Cumbria,2004,12736
TLD3,Greater Manchester,2004,11899
TLD4,Lancashire,2004,11696
TLD6,Cheshire,2004,14613
TLD7,Merseyside,2004,11632
TLE1,East Yorkshire and Northern Lincolnshire,2004,11622
TLE2,North Yorkshire,2004,13766
TLE3,South Yorkshire,2004,11517
TLE4,West Yorkshire,2004,11883
TLF1,Derbyshire and Nottinghamshire,2004,12005
TLF2,"Leicestershire, Rutland and Northamptonshire",2004,12752
TLF3,Lincolnshire,2004,12257
TLG1,"Herefordshire, Worcestershire and Warwickshire",2004,14142
TLG2,Shropshire and Staffordshire,2004,12301
TLG3,West Midlands,2004,11175
TLH2,Bedfordshire and Hertfordshire,2004,15391
TLH3,Essex,2004,14341
TLH4,Cambridgeshire and Peterborough,2004,13816
TLH5,Norfolk,2004,11986
TLH6,Suffolk,2004,12979
TLI3,Inner London - West,2004,27636
TLI4,Inner London - East,2004,15207
TLI5,Outer London - East and North East,2004,14420
TLI6,Outer London - South,2004,17138
TLI7,Outer London - West and North West,2004,17195
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2004,16466
TLJ2,"Surrey, East and West Sussex",2004,16774
TLJ3,Hampshire and Isle of Wight,2004,14371
TLJ4,Kent,2004,14222
TLK3,Cornwall and Isles of Scilly,2004,12052
TLK4,Devon,2004,12581
TLK5,West of England,2004,13530
TLK6,"North Somerset, Somerset and Dorset",2004,13972
TLK7,Gloucestershire and Wiltshire,2004,14232
TLL3,North Wales,2004,12271
TLL4,Mid and South West Wales,2004,11686
TLL5,South East Wales,2004,11769
TLM0,Eastern Scotland,2004,12554
TLM1,East Central Scotland,2004,14170
TLM2,Highlands and Islands,2004,11239
TLM3,West Central Scotland,2004,12131
TLM5,North Eastern Scotland,2004,14090
TLM9,Southern Scotland,2004,12082
TLN0,Northern Ireland,2004,11424
TLC3,Tees Valley,2005,11550
TLC4,"Northumberland, Durham and Tyne & Wear",2005,11755
TLD1,Cumbria,2005,13163
TLD3,Greater Manchester,2005,12253
TLD4,Lancashire,2005,12159
TLD6,Cheshire,2005,15067
TLD7,Merseyside,2005,11964
TLE1,East Yorkshire and Northern Lincolnshire,2005,11945
TLE2,North Yorkshire,2005,14424
TLE3,South Yorkshire,2005,11707
TLE4,West Yorkshire,2005,12094
TLF1,Derbyshire and Nottinghamshire,2005,12245
TLF2,"Leicestershire, Rutland and Northamptonshire",2005,13117
TLF3,Lincolnshire,2005,12755
TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,14524
TLG2,Shropshire and Staffordshire,2005,12643
TLG3,West Midlands,2005,11225
TLH2,Bedfordshire and Hertfordshire,2005,15891
TLH3,Essex,2005,14836
TLH4,Cambridgeshire and Peterborough,2005,14568
TLH5,Norfolk,2005,12390
TLH6,Suffolk,2005,13390
TLI3,Inner London - West,2005,30014
TLI4,Inner London - East,2005,16233
TLI5,Outer London - East and North East,2005,14874
TLI6,Outer London - South,2005,17895
TLI7,Outer London - West and North West,2005,18000
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,16987
TLJ2,"Surrey, East and West Sussex",2005,17606
TLJ3,Hampshire and Isle of Wight,2005,14729
TLJ4,Kent,2005,14639
TLK3,Cornwall and Isles of Scilly,2005,12496
TLK4,Devon,2005,13083
TLK5,West of England,2005,13924
TLK6,"North Somerset, Somerset and Dorset",2005,14471
TLK7,Gloucestershire and Wiltshire,2005,14898
TLL3,North Wales,2005,12615
TLL4,Mid and South West Wales,2005,12036
TLL5,South East Wales,2005,12024
TLM0,Eastern Scotland,2005,12834
TLM1,East Central Scotland,2005,14615
TLM2,Highlands and Islands,2005,11632
TLM3,West Central Scotland,2005,12522
TLM5,North Eastern Scotland,2005,15045
TLM9,Southern Scotland,2005,12542
TLN0,Northern Ireland,2005,11975
TLC3,Tees Valley,2006,11954
TLC4,"Northumberland, Durham and Tyne & Wear",2006,12183
TLD1,Cumbria,2006,13715
TLD3,Greater Manchester,2006,12669
TLD4,Lancashire,2006,12544
TLD6,Cheshire,2006,15516
TLD7,Merseyside,2006,12345
TLE1,East Yorkshire and Northern Lincolnshire,2006,12320
TLE2,North Yorkshire,2006,15267
TLE3,South Yorkshire,2006,12014
TLE4,West Yorkshire,2006,12477
TLF1,Derbyshire and Nottinghamshire,2006,12691
TLF2,"Leicestershire, Rutland and Northamptonshire",2006,13566
TLF3,Lincolnshire,2006,13042
TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,15213
TLG2,Shropshire and Staffordshire,2006,13204
TLG3,West Midlands,2006,11529
TLH2,Bedfordshire and Hertfordshire,2006,16538
TLH3,Essex,2006,15226
TLH4,Cambridgeshire and Peterborough,2006,15181
TLH5,Norfolk,2006,12511
TLH6,Suffolk,2006,13759
TLI3,Inner London - West,2006,32824
TLI4,Inner London - East,2006,17343
TLI5,Outer London - East and North East,2006,15255
TLI6,Outer London - South,2006,18412
TLI7,Outer London - West and North West,2006,18562
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2006,17916
TLJ2,"Surrey, East and West Sussex",2006,18457
TLJ3,Hampshire and Isle of Wight,2006,15246
TLJ4,Kent,2006,15171
TLK3,Cornwall and Isles of Scilly,2006,13118
TLK4,Devon,2006,13715
TLK5,West of England,2006,14686
TLK6,"North Somerset, Somerset and Dorset",2006,15274
TLK7,Gloucestershire and Wiltshire,2006,15576
TLL3,North Wales,2006,12889
