itl2_code,itl2_name,year,gva_real_gbp_m
TLG1,"Herefordshire, Worcestershire and Warwickshire",2009,30256
TLG2,Shropshire and Staffordshire,2009,33050
TLG3,West Midlands,2009,62335
TLH2,Bedfordshire and Hertfordshire,2009,48105
TLH3,Essex,2009,40131
TLH4,Cambridgeshire and Peterborough,2009,23989
TLH5,Norfolk,2009,19055
TLH6,Suffolk,2009,16943
TLI3,Inner London - West,2009,173798
TLI4,Inner London - East,2009,96993
TLI5,Outer London - East and North East,2009,34824
TLI6,Outer London - South,2009,32186
TLI7,Outer London - West and North West,2009,59789
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2009,79563
TLJ2,"Surrey, East and West Sussex",2009,80323
TLJ3,Hampshire and Isle of Wight,2009,54435
TLJ4,Kent,2009,39935
TLK3,Cornwall and Isles of Scilly,2009,10398
TLK4,Devon,2009,24322
TLK5,West of England,2009,29033
TLK6,"North Somerset, Somerset and Dorset",2009,34230
TLK7,Gloucestershire and Wiltshire,2009,37804
TLL3,North Wales,2009,13923
TLL4,Mid and South West Wales,2009,16108
TLL5,South East Wales,2009,31216
TLM0,Eastern Scotland,2009,20086
TLM1,East Central Scotland,2009,34548
TLM2,Highlands and Islands,2009,12083
TLM3,West Central Scotland,2009,37670
TLM5,North Eastern Scotland,2009,17622
TLM9,Southern Scotland,2009,20137
TLN0,Northern Ireland,2009,41216
TLC3,Tees Valley,2010,13354
TLC4,"Northumberland, Durham and Tyne & Wear",2010,40087
TLD1,Cumbria,2010,12088
TLD3,Greater Manchester,2010,66170
TLD4,Lancashire,2010,32962
TLD6,Cheshire,2010,30805
TLD7,Merseyside,2010,34903
TLE1,East Yorkshire and Northern Lincolnshire,2010,20752
TLE2,North Yorkshire,2010,21398
TLE3,South Yorkshire,2010,26721
TLE4,West Yorkshire,2010,53642
TLF1,Derbyshire and Nottinghamshire,2010,49265
TLF2,"Leicestershire, Rutland and Northamptonshire",2010,44664
TLF3,Lincolnshire,2010,15116
TLG1,"Herefordshire, Worcestershire and Warwickshire",2010,31318
TLG2,Shropshire and Staffordshire,2010,33891
TLG3,West Midlands,2010,64711
TLH2,Bedfordshire and Hertfordshire,2010,48268
TLH3,Essex,2010,41566
TLH4,Cambridgeshire and Peterborough,2010,24617
TLH5,Norfolk,2010,19135
TLH6,Suffolk,2010,17354
TLI3,Inner London - West,2010,179579
TLI4,Inner London - East,2010,99981
TLI5,Outer London - East and North East,2010,36616
TLI6,Outer London - South,2010,32889
TLI7,Outer London - West and North West,2010,61468
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2010,82907
TLJ2,"Surrey, East and West Sussex",2010,83607
TLJ3,Hampshire and Isle of Wight,2010,57258
TLJ4,Kent,2010,41657
TLK3,Cornwall and Isles of Scilly,2010,10530
TLK4,Devon,2010,25376
TLK5,West of England,2010,30451
TLK6,"North Somerset, Somerset and Dorset",2010,34702
TLK7,Gloucestershire and Wiltshire,2010,39842
TLL3,North Wales,2010,14223
TLL4,Mid and South West Wales,2010,16375
TLL5,South East Wales,2010,31895
TLM0,Eastern Scotland,2010,20194
TLM1,East Central Scotland,2010,35191
TLM2,Highlands and Islands,2010,12290
TLM3,West Central Scotland,2010,37315
TLM5,North Eastern Scotland,2010,18059
TLM9,Southern Scotland,2010,20017
TLN0,Northern Ireland,2010,40655
TLC3,Tees Valley,2011,13405
TLC4,"Northumberland, Durham and Tyne & Wear",2011,40772
TLD1,Cumbria,2011,11790
TLD3,Greater Manchester,2011,65578
TLD4,Lancashire,2011,33374
TLD6,Cheshire,2011,30992
TLD7,Merseyside,2011,34449
TLE1,East Yorkshire and Northern Lincolnshire,2011,20087
TLE2,North Yorkshire,2011,22053
TLE3,South Yorkshire,2011,27186
TLE4,West Yorkshire,2011,54605
TLF1,Derbyshire and Nottinghamshire,2011,50696
TLF2,"Leicestershire, Rutland and Northamptonshire",2011,44329
TLF3,Lincolnshire,2011,15391
TLG1,"Herefordshire, Worcestershire and Warwickshire",2011,32929
TLG2,Shropshire and Staffordshire,2011,34996
TLG3,West Midlands,2011,65926
TLH2,Bedfordshire and Hertfordshire,2011,48035
TLH3,Essex,2011,41120
TLH4,Cambridgeshire and Peterborough,2011,25076
TLH5,Norfolk,2011,19315
TLH6,Suffolk,2011,17683
TLI3,Inner London - West,2011,183794
TLI4,Inner London - East,2011,107025
TLI5,Outer London - East and North East,2011,36798
TLI6,Outer London - South,2011,32617
TLI7,Outer London - West and North West,2011,62711
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2011,86414
TLJ2,"Surrey, East and West Sussex",2011,83472
TLJ3,Hampshire and Isle of Wight,2011,58514
TLJ4,Kent,2011,42475
TLK3,Cornwall and Isles of Scilly,2011,10810
TLK4,Devon,2011,25554
TLK5,West of England,2011,30555
TLK6,"North Somerset, Somerset and Dorset",2011,35032
TLK7,Gloucestershire and Wiltshire,2011,39597
TLL3,North Wales,2011,14918
TLL4,Mid and South West Wales,2011,16595
TLL5,South East Wales,2011,32910
TLM0,Eastern Scotland,2011,20389
TLM1,East Central Scotland,2011,34775
TLM2,Highlands and Islands,2011,12804
TLM3,West Central Scotland,2011,38286
TLM5,North Eastern Scotland,2011,18433
TLM9,Southern Scotland,2011,20418
TLN0,Northern Ireland,2011,41387
TLC3,Tees Valley,2012,13702
