itl2_code,itl2_name,year,affordability_ratio_workplace
TLI4,Inner London - East,2002,6.82375
TLI5,Outer London - East and North East,2002,6.4471428571428575
TLI6,Outer London - South,2002,7.872000000000002
TLI7,Outer London - West and North West,2002,7.971428571428571
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,6.586153846153847
TLJ2,"Surrey, East and West Sussex",2002,7.346666666666668
TLJ3,Hampshire and Isle of Wight,2002,6.413571428571429
TLJ4,Kent,2002,6.1253846153846165
TLK3,Cornwall and Isles of Scilly,2002,
TLK4,Devon,2002,6.698
TLK5,West of England,2002,5.646666666666667
TLK6,"North Somerset, Somerset and Dorset",2002,5.42
TLK7,Gloucestershire and Wiltshire,2002,5.867142857142857
TLL3,North Wales,2002,3.7266666666666666
TLL4,Mid and South West Wales,2002,3.786666666666667
TLL5,South East Wales,2002,3.636
TLC3,Tees Valley,2003,3.478
TLC4,"Northumberland, Durham and Tyne & Wear",2003,4.147142857142857
TLD1,Cumbria,2003,4.22
TLD3,Greater Manchester,2003,4.023
TLD4,Lancashire,2003,3.98
TLD6,Cheshire,2003,5.31
TLD7,Merseyside,2003,3.94
TLE1,East Yorkshire and Northern Lincolnshire,2003,3.37
TLE2,North Yorkshire,2003,6.41
TLE3,South Yorkshire,2003,3.6800000000000006
TLE4,West Yorkshire,2003,3.936
TLF1,Derbyshire and Nottinghamshire,2003,4.842941176470587
TLF2,"Leicestershire, Rutland and Northamptonshire",2003,6.068181818181818
TLF3,Lincolnshire,2003,5.658571428571428
TLG1,"Herefordshire, Worcestershire and Warwickshire",2003,6.966666666666666
TLG2,Shropshire and Staffordshire,2003,5.257272727272726
TLG3,West Midlands,2003,4.764285714285714
TLH2,Bedfordshire and Hertfordshire,2003,7.144615384615386
TLH3,Essex,2003,7.365
TLH4,Cambridgeshire and Peterborough,2003,6.384999999999999
TLH5,Norfolk,2003,6.417142857142858
TLH6,Suffolk,2003,6.646000000000001
TLI3,Inner London - West,2003,10.290000000000001
TLI4,Inner London - East,2003,7.476249999999999
TLI5,Outer London - East and North East,2003,7.431428571428571
TLI6,Outer London - South,2003,8.528
TLI7,Outer London - West and North West,2003,8.821428571428571
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2003,7.272307692307693
TLJ2,"Surrey, East and West Sussex",2003,8.228333333333333
TLJ3,Hampshire and Isle of Wight,2003,7.277142857142857
TLJ4,Kent,2003,6.984615384615385
TLK3,Cornwall and Isles of Scilly,2003,8.01
TLK4,Devon,2003,7.875555555555555
TLK5,West of England,2003,6.489999999999999
