itl2_code,itl2_name,year,median_price,n_sales
TLF1,Derbyshire and Nottinghamshire,2007,133912.5,45732
TLF2,"Leicestershire, Rutland and Northamptonshire",2007,154950.0,39844
TLF3,Lincolnshire,2007,145000.0,18683
TLG1,"Herefordshire, Worcestershire and Warwickshire",2007,177500.0,28024
TLG2,Shropshire and Staffordshire,2007,141500.0,32003
TLG3,West Midlands,2007,135000.0,50812
TLH2,Bedfordshire and Hertfordshire,2007,215000.0,41432
TLH3,Essex,2007,195000.0,43606
TLH4,Cambridgeshire and Peterborough,2007,180000.0,18887
TLH5,Norfolk,2007,167000.0,21471
TLH6,Suffolk,2007,170000.0,17637
TLI3,Inner London - West,2007,420000.0,25577
TLI4,Inner London - East,2007,257000.0,39377
TLI5,Outer London - East and North East,2007,225000.0,36555
TLI6,Outer London - South,2007,249950.0,29525
TLI7,Outer London - West and North West,2007,275725.0,36554
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,233000.0,53233
TLJ2,"Surrey, East and West Sussex",2007,240000.0,72322
TLJ3,Hampshire and Isle of Wight,2007,195000.0,46256
TLJ4,Kent,2007,188000.0,43352
TLK3,Cornwall and Isles of Scilly,2007,196000.0,12517
TLK4,Devon,2007,185000.0,27756
TLK5,West of England,2007,187000.0,19447
TLK6,"North Somerset, Somerset and Dorset",2007,204000.0,39619
TLK7,Gloucestershire and Wiltshire,2007,184000.0,31413
TLL3,North Wales,2007,145000.0,13243
TLL4,Mid and South West Wales,2007,140000.0,16142
TLL5,South East Wales,2007,137000.0,28971
TLC3,Tees Valley,2008,119000.0,8248
TLC4,"Northumberland, Durham and Tyne & Wear",2008,120000.0,22168
TLD1,Cumbria,2008,142500.0,6068
TLD3,Greater Manchester,2008,125000.0,30586
TLD4,Lancashire,2008,124500.0,17659
TLD6,Cheshire,2008,158500.0,10120
TLD7,Merseyside,2008,125000.0,15216
TLE1,East Yorkshire and Northern Lincolnshire,2008,120000.0,11765
TLE2,North Yorkshire,2008,175000.0,9570
TLE3,South Yorkshire,2008,120000.0,15470
TLE4,West Yorkshire,2008,127972.5,26098
TLF1,Derbyshire and Nottinghamshire,2008,125000.0,24325
TLF2,"Leicestershire, Rutland and Northamptonshire",2008,149950.0,20479
TLF3,Lincolnshire,2008,139950.0,9857
