itl2_code,itl2_name,year,affordability_ratio_residence
TLH6,Suffolk,2014,6.9959999999999996
TLI3,Inner London - West,2014,18.631999999999998
TLI4,Inner London - East,2014,11.6725
TLI5,Outer London - East and North East,2014,8.844285714285714
TLI6,Outer London - South,2014,9.425999999999998
TLI7,Outer London - West and North West,2014,11.495714285714286
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2014,8.526153846153845
TLJ2,"Surrey, East and West Sussex",2014,9.35
TLJ3,Hampshire and Isle of Wight,2014,7.804285714285713
TLJ4,Kent,2014,7.459230769230768
TLK3,Cornwall and Isles of Scilly,2014,8.16
TLK4,Devon,2014,8.101
TLK5,West of England,2014,7.636666666666667
TLK6,"North Somerset, Somerset and Dorset",2014,7.8549999999999995
TLK7,Gloucestershire and Wiltshire,2014,7.519999999999999
TLL3,North Wales,2014,5.668333333333333
TLL4,Mid and South West Wales,2014,5.87
TLL5,South East Wales,2014,5.119999999999999
TLC3,Tees Valley,2015,5.008
TLC4,"Northumberland, Durham and Tyne & Wear",2015,5.387142857142857
TLD1,Cumbria,2015,5.78
TLD3,Greater Manchester,2015,5.489
TLD4,Lancashire,2015,5.340714285714285
TLD6,Cheshire,2015,6.363333333333333
TLD7,Merseyside,2015,5.045000000000001
TLE1,East Yorkshire and Northern Lincolnshire,2015,4.9025
TLE2,North Yorkshire,2015,7.699999999999999
TLE3,South Yorkshire,2015,5.0825
TLE4,West Yorkshire,2015,5.4079999999999995
TLF1,Derbyshire and Nottinghamshire,2015,5.711764705882352
TLF2,"Leicestershire, Rutland and Northamptonshire",2015,6.909090909090909
TLF3,Lincolnshire,2015,6.277142857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",2015,7.490833333333335
TLG2,Shropshire and Staffordshire,2015,5.928181818181818
TLG3,West Midlands,2015,5.779999999999999
TLH2,Bedfordshire and Hertfordshire,2015,9.446923076923076
TLH3,Essex,2015,8.199285714285715
TLH4,Cambridgeshire and Peterborough,2015,8.229999999999999
TLH5,Norfolk,2015,7.212857142857142
TLH6,Suffolk,2015,7.395999999999999
TLI3,Inner London - West,2015,20.098
TLI4,Inner London - East,2015,13.12375
TLI5,Outer London - East and North East,2015,9.714285714285714
TLI6,Outer London - South,2015,10.355999999999998
TLI7,Outer London - West and North West,2015,12.732857142857144
