itl2_code,itl2_name,year,gva_real_gbp_m,population,gva_per_capita_gbp
TLD1,Cumbria,2014,12894,498303.0,25875.82254170655
TLD3,Greater Manchester,2014,70533,2733895.0,25799.454624263184
TLD4,Lancashire,2014,34991,1475344.0,23717.180535522562
TLD6,Cheshire,2014,34102,921067.0,37024.45098999313
TLD7,Merseyside,2014,35485,1512487.0,23461.358676140688
TLE1,East Yorkshire and Northern Lincolnshire,2014,21026,924757.0,22736.783825372502
TLE2,North Yorkshire,2014,22613,805878.0,28060.07857268718
TLE3,South Yorkshire,2014,28559,1356290.0,21056.70616166159
TLE4,West Yorkshire,2014,56888,2269503.0,25066.28103157387
TLF1,Derbyshire and Nottinghamshire,2014,52469,2141352.0,24502.74406076161
TLF2,"Leicestershire, Rutland and Northamptonshire",2014,48159,1768296.0,27234.69373905726
TLF3,Lincolnshire,2014,16553,732981.0,22583.12289131642
TLG1,"Herefordshire, Worcestershire and Warwickshire",2014,37034,1321709.0,28019.783477300978
TLG2,Shropshire and Staffordshire,2014,36528,1589753.0,22977.154312651084
TLG3,West Midlands,2014,70421,2805420.0,25101.767293310804
TLH2,Bedfordshire and Hertfordshire,2014,54170,1803992.0,30027.849347447216
TLH3,Essex,2014,43545,1779577.0,24469.29804105133
TLH4,Cambridgeshire and Peterborough,2014,26717,838791.0,31851.796216220726
TLH5,Norfolk,2014,20858,876986.0,23783.73200940494
TLH6,Suffolk,2014,19107,740175.0,25814.16556895329
TLI3,Inner London - West,2014,206477,1105738.0,186732.30005661378
TLI4,Inner London - East,2014,115112,2251633.0,51123.784382268335
TLI5,Outer London - East and North East,2014,40034,1848215.0,21660.89984119813
TLI6,Outer London - South,2014,34905,1276004.0,27354.929921849776
TLI7,Outer London - West and North West,2014,72337,2065602.0,35019.81504665468
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2014,94880,2362949.0,40153.21532542598
TLJ2,"Surrey, East and West Sussex",2014,88990,2814540.0,31617.955331954778
TLJ3,Hampshire and Isle of Wight,2014,61773,1936277.0,31902.976691867952
TLJ4,Kent,2014,44166,1780164.0,24810.07367860489
TLK3,Cornwall and Isles of Scilly,2014,11393,545966.0,20867.599813907826
TLK4,Devon,2014,26663,1156431.0,23056.28264894317
TLK5,West of England,2014,32837,893739.0,36741.15149948699
TLK6,"North Somerset, Somerset and Dorset",2014,36766,1511350.0,24326.595427928674
TLK7,Gloucestershire and Wiltshire,2014,42423,1314673.0,32268.860773743738
TLL3,North Wales,2014,15353,689349.0,22271.73753787994
TLL4,Mid and South West Wales,2014,17915,893170.0,20057.771756776427
TLL5,South East Wales,2014,34388,1491269.0,23059.55531832285
TLM0,Eastern Scotland,2014,21951,919620.0,23869.641808573106
TLM1,East Central Scotland,2014,36609,1008360.0,36305.48613590384
TLM2,Highlands and Islands,2014,13375,624500.0,21417.13370696557
TLM3,West Central Scotland,2014,41201,1476070.0,27912.63286971485
TLM5,North Eastern Scotland,2014,21022,487520.0,43120.28224483098
TLM9,Southern Scotland,2014,21344,952000.0,22420.168067226892
TLN0,Northern Ireland,2014,43702,1843186.0,23710.032519778255
TLC3,Tees Valley,2015,15201,668875.0,22726.21939824332
TLC4,"Northumberland, Durham and Tyne & Wear",2015,42880,1942929.0,22069.77197828639
TLD1,Cumbria,2015,13190,498718.0,26447.81219045633
TLD3,Greater Manchester,2015,72996,2756962.0,26476.969940100735
TLD4,Lancashire,2015,36246,1481431.0,24466.883709062386
TLD6,Cheshire,2015,34473,927267.0,37176.99432849438
TLD7,Merseyside,2015,36268,1518273.0,23887.6671059816
TLE1,East Yorkshire and Northern Lincolnshire,2015,22163,925798.0,23939.347460245106
TLE2,North Yorkshire,2015,22517,806923.0,27904.769104363117
TLE3,South Yorkshire,2015,29312,1359690.0,21557.85509932411
TLE4,West Yorkshire,2015,59144,2284951.0,25884.143686232223
TLF1,Derbyshire and Nottinghamshire,2015,52890,2150694.0,24592.06191117844
TLF2,"Leicestershire, Rutland and Northamptonshire",2015,49338,1792595.0,27523.22749979778
TLF3,Lincolnshire,2015,16377,738351.0,22180.50764473807
TLG1,"Herefordshire, Worcestershire and Warwickshire",2015,38416,1329714.0,28890.423053378396
TLG2,Shropshire and Staffordshire,2015,36960,1594911.0,23173.706871417904
TLG3,West Midlands,2015,72408,2831662.0,25570.84849816115
TLH2,Bedfordshire and Hertfordshire,2015,55621,1826031.0,30460.052430654243
TLH3,Essex,2015,44613,1793535.0,24874.34033905109
TLH4,Cambridgeshire and Peterborough,2015,26912,851257.0,31614.424316040866
TLH5,Norfolk,2015,20796,882938.0,23553.182669677826
TLH6,Suffolk,2015,19408,744501.0,26068.46733583971
TLI3,Inner London - West,2015,209962,1110629.0,189047.8278525052
TLI4,Inner London - East,2015,117522,2288411.0,51355.285392353035
TLI5,Outer London - East and North East,2015,40616,1879025.0,21615.46546746318
TLI6,Outer London - South,2015,34550,1289523.0,26792.8528610967
TLI7,Outer London - West and North West,2015,72562,2091957.0,34686.18140812646
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2015,97869,2391466.0,40924.269882992274
TLJ2,"Surrey, East and West Sussex",2015,91443,2834923.0,32255.902541268315
TLJ3,Hampshire and Isle of Wight,2015,62865,1950196.0,32235.221485430182
TLJ4,Kent,2015,45695,1793053.0,25484.466995677205
TLK3,Cornwall and Isles of Scilly,2015,11445,549572.0,20825.296776400544
TLK4,Devon,2015,27038,1164950.0,23209.57981029229
TLK5,West of England,2015,33163,906540.0,36581.94894875019
TLK6,"North Somerset, Somerset and Dorset",2015,36828,1522572.0,24188.018694682418
TLK7,Gloucestershire and Wiltshire,2015,42594,1327853.0,32077.345911030814
TLL3,North Wales,2015,15518,688371.0,22543.076335290127
TLL4,Mid and South West Wales,2015,18716,891852.0,20985.544686786598
TLL5,South East Wales,2015,34935,1492516.0,23406.784248879074
TLM0,Eastern Scotland,2015,22261,922150.0,24140.324242259936
TLM1,East Central Scotland,2015,37517,1017510.0,36871.38209943883
TLM2,Highlands and Islands,2015,13263,624750.0,21229.291716686675
TLM3,West Central Scotland,2015,41473,1480560.0,28011.698276327876
TLM5,North Eastern Scotland,2015,21484,489930.0,43851.16241095667
TLM9,Southern Scotland,2015,21163,951920.0,22231.910244558367
TLN0,Northern Ireland,2015,44177,1854943.0,23815.82614667944
TLC3,Tees Valley,2016,15127,670923.0,22546.55154168213
TLC4,"Northumberland, Durham and Tyne & Wear",2016,42854,1947330.0,22006.5422912398
TLD1,Cumbria,2016,12954,498946.0,25962.729433646127
TLD3,Greater Manchester,2016,74303,2784566.0,26683.871023347983
TLD4,Lancashire,2016,37546,1488803.0,25218.917479344145
TLD6,Cheshire,2016,35207,934711.0,37666.18773075314
TLD7,Merseyside,2016,36047,1527115.0,23604.640122060224
TLE1,East Yorkshire and Northern Lincolnshire,2016,22378,930712.0,24043.95774417865
TLE2,North Yorkshire,2016,22944,808662.0,28372.793577539196
TLE3,South Yorkshire,2016,29351,1366070.0,21485.721815133926
TLE4,West Yorkshire,2016,59538,2302614.0,25856.700254580228
TLF1,Derbyshire and Nottinghamshire,2016,53319,2164887.0,24628.99911173193
TLF2,"Leicestershire, Rutland and Northamptonshire",2016,50230,1820587.0,27590.002565106748
TLF3,Lincolnshire,2016,16429,746141.0,22018.62650625016
TLG1,"Herefordshire, Worcestershire and Warwickshire",2016,38182,1340812.0,28476.773775891026
TLG2,Shropshire and Staffordshire,2016,37645,1605586.0,23446.268216090575
TLG3,West Midlands,2016,75609,2865850.0,26382.748573721583
TLH2,Bedfordshire and Hertfordshire,2016,56884,1849798.0,30751.46583572909
TLH3,Essex,2016,45816,1809967.0,25313.16869313087
TLH4,Cambridgeshire and Peterborough,2016,27541,862377.0,31936.148575391042
TLH5,Norfolk,2016,20874,891150.0,23423.66604948662
TLH6,Suffolk,2016,19867,747783.0,26567.86795099648
TLI3,Inner London - West,2016,223651,1108547.0,201751.48189476857
TLI4,Inner London - East,2016,121191,2318264.0,52276.61733089933
TLI5,Outer London - East and North East,2016,41119,1903053.0,21606.860134741386
TLI6,Outer London - South,2016,35244,1299513.0,27120.929148073163
TLI7,Outer London - West and North West,2016,73938,2114274.0,34970.869433195505
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2016,97525,2420592.0,40289.73077660341
TLJ2,"Surrey, East and West Sussex",2016,91685,2857233.0,32088.73760032871
TLJ3,Hampshire and Isle of Wight,2016,62601,1966660.0,31831.12485127068
TLJ4,Kent,2016,46759,1808526.0,25854.756857241755
TLK3,Cornwall and Isles of Scilly,2016,11828,553439.0,21371.822368860885
TLK4,Devon,2016,27558,1174412.0,23465.359686379226
TLK5,West of England,2016,34213,920903.0,37151.57839642177
TLK6,"North Somerset, Somerset and Dorset",2016,37521,1536948.0,24412.667181973626
TLK7,Gloucestershire and Wiltshire,2016,42601,1341280.0,31761.451747584397
TLL3,North Wales,2016,15838,687418.0,23039.838933516436
TLL4,Mid and South West Wales,2016,19318,892154.0,21653.21233778025
TLL5,South East Wales,2016,35892,1497593.0,23966.458176553977
TLM0,Eastern Scotland,2016,22487,924810.0,24315.26475708524
TLM1,East Central Scotland,2016,39319,1027830.0,38254.38058822957
TLM2,Highlands and Islands,2016,13240,625440.0,21169.096955743156
TLM3,West Central Scotland,2016,41803,1490040.0,28054.95154492497
TLM5,North Eastern Scotland,2016,19750,488800.0,40405.0736497545
TLM9,Southern Scotland,2016,21319,952630.0,22379.097865908065
TLN0,Northern Ireland,2016,46116,1866042.0,24713.270119322075
TLC3,Tees Valley,2017,14918,672690.0,22176.63411080884
TLC4,"Northumberland, Durham and Tyne & Wear",2017,44120,1951097.0,22612.91980870249
TLD1,Cumbria,2017,13072,498693.0,26212.519526041073
TLD3,Greater Manchester,2017,78503,2804283.0,27993.96494576332
TLD4,Lancashire,2017,38030,1496853.0,25406.636456619322
TLD6,Cheshire,2017,36065,942398.0,38269.39361076742
TLD7,Merseyside,2017,37001,1533538.0,24127.86641087472
TLE1,East Yorkshire and Northern Lincolnshire,2017,22817,933578.0,24440.378843546012
TLE2,North Yorkshire,2017,23942,810837.0,29527.51292799909
TLE3,South Yorkshire,2017,30159,1368187.0,22043.039438322394
TLE4,West Yorkshire,2017,61137,2315182.0,26406.995216790732
TLF1,Derbyshire and Nottinghamshire,2017,53968,2176697.0,24793.528911005986
TLF2,"Leicestershire, Rutland and Northamptonshire",2017,50739,1848618.0,27446.990129924085
TLF3,Lincolnshire,2017,17147,753031.0,22770.64290845928
TLG1,"Herefordshire, Worcestershire and Warwickshire",2017,40849,1351030.0,30235.449990007623
TLG2,Shropshire and Staffordshire,2017,38736,1614523.0,23992.22556755153
TLG3,West Midlands,2017,77090,2889499.0,26679.36552322738
TLH2,Bedfordshire and Hertfordshire,2017,60610,1858958.0,32604.286917724876
TLH3,Essex,2017,48702,1822045.0,26729.306905153277
TLH4,Cambridgeshire and Peterborough,2017,28969,869702.0,33309.11047692198
TLH5,Norfolk,2017,21553,898548.0,23986.475958991618
TLH6,Suffolk,2017,20333,753590.0,26981.515147493996
TLI3,Inner London - West,2017,229949,1104033.0,208280.91189303217
TLI4,Inner London - East,2017,124655,2328482.0,53534.878087956014
TLI5,Outer London - East and North East,2017,40836,1915435.0,21319.439187443062
TLI6,Outer London - South,2017,35183,1303737.0,26986.271004044527
TLI7,Outer London - West and North West,2017,74089,2124542.0,34872.92790634405
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2017,99535,2438363.0,40820.41927309428
TLJ2,"Surrey, East and West Sussex",2017,93563,2868837.0,32613.564311949405
TLJ3,Hampshire and Isle of Wight,2017,64642,1976517.0,32705.005825904864
TLJ4,Kent,2017,47636,1821359.0,26154.097023156886
TLK3,Cornwall and Isles of Scilly,2017,12695,559091.0,22706.50037292677
TLK4,Devon,2017,28348,1185975.0,23902.696093931154
TLK5,West of England,2017,35233,928386.0,37950.80925390947
TLK6,"North Somerset, Somerset and Dorset",2017,39033,1546645.0,25237.206986735804
TLK7,Gloucestershire and Wiltshire,2017,43838,1354569.0,32363.0616085264
TLL3,North Wales,2017,16240,687156.0,23633.643597669234
TLL4,Mid and South West Wales,2017,19443,891334.0,21813.371867335925
TLL5,South East Wales,2017,36734,1502876.0,24442.468972822775
TLM0,Eastern Scotland,2017,22980,926250.0,24809.716599190284
TLM1,East Central Scotland,2017,41191,1036170.0,39753.129312757555
TLM2,Highlands and Islands,2017,13931,624890.0,22293.52366016419
TLM3,West Central Scotland,2017,43678,1496270.0,29191.255588897726
TLM5,North Eastern Scotland,2017,19331,486810.0,39709.537601939155
TLM9,Southern Scotland,2017,22039,953620.0,23110.88274155324
TLN0,Northern Ireland,2017,47169,1875178.0,25154.412007820058
TLC3,Tees Valley,2018,15106,673541.0,22427.73639615109
TLC4,"Northumberland, Durham and Tyne & Wear",2018,44288,1955852.0,22643.840126962572
TLD1,Cumbria,2018,13058,498941.0,26171.431091050847
TLD3,Greater Manchester,2018,80810,2823878.0,28616.67536628707
TLD4,Lancashire,2018,37474,1503339.0,24927.178766731922
TLD6,Cheshire,2018,36385,948975.0,38341.368318448855
TLD7,Merseyside,2018,36827,1540983.0,23898.38174723537
TLE1,East Yorkshire and Northern Lincolnshire,2018,23145,934259.0,24773.644139366064
TLE2,North Yorkshire,2018,23657,811641.0,29147.122927501197
TLE3,South Yorkshire,2018,29936,1372522.0,21810.943649719276
TLE4,West Yorkshire,2018,63279,2325461.0,27211.37873307701
TLF1,Derbyshire and Nottinghamshire,2018,54985,2186393.0,25148.726692776643
TLF2,"Leicestershire, Rutland and Northamptonshire",2018,52170,1871477.0,27876.377855565417
TLF3,Lincolnshire,2018,17287,757281.0,22827.721810001836
TLG1,"Herefordshire, Worcestershire and Warwickshire",2018,41506,1359892.0,30521.541416524255
TLG2,Shropshire and Staffordshire,2018,39493,1622313.0,24343.637756709093
TLG3,West Midlands,2018,77852,2907123.0,26779.74065768803
TLH2,Bedfordshire and Hertfordshire,2018,60721,1868416.0,32498.65126395835
TLH3,Essex,2018,49119,1833375.0,26791.5729187973
TLH4,Cambridgeshire and Peterborough,2018,29387,876713.0,33519.52121161657
TLH5,Norfolk,2018,20851,903527.0,23077.34024550456
TLH6,Suffolk,2018,20443,755345.0,27064.453991222555
TLI3,Inner London - West,2018,237383,1104525.0,214918.63018039428
TLI4,Inner London - East,2018,125863,2349065.0,53580.041420735484
TLI5,Outer London - East and North East,2018,41255,1929180.0,21384.733410049867
TLI6,Outer London - South,2018,35375,1308552.0,27033.698316918242
TLI7,Outer London - West and North West,2018,74682,2142013.0,34865.33461748365
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2018,103118,2457736.0,41956.499803070794
TLJ2,"Surrey, East and West Sussex",2018,94053,2878969.0,32668.986710172983
TLJ3,Hampshire and Isle of Wight,2018,65383,1981860.0,32990.72588376576
TLJ4,Kent,2018,48334,1831680.0,26387.796995108314
TLK3,Cornwall and Isles of Scilly,2018,12695,562127.0,22583.864500370913
TLK4,Devon,2018,28180,1193623.0,23608.79440158241
TLK5,West of England,2018,34898,938234.0,37195.41180558368
TLK6,"North Somerset, Somerset and Dorset",2018,39404,1552187.0,25386.116492407164
TLK7,Gloucestershire and Wiltshire,2018,44727,1363530.0,32802.35858396955
TLL3,North Wales,2018,16615,686482.0,24203.110933717126
