itl2_code,itl2_name,year,population
TLF1,Derbyshire and Nottinghamshire,2001,1983362.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2001,1558620.0
TLF3,Lincolnshire,2001,647640.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2001,1223311.0
TLG2,Shropshire and Staffordshire,2001,1489401.0
TLG3,West Midlands,2001,2568015.0
TLH2,Bedfordshire and Hertfordshire,2001,1603531.0
TLH3,Essex,2001,1616258.0
TLH4,Cambridgeshire and Peterborough,2001,712143.0
TLH5,Norfolk,2001,798618.0
TLH6,Suffolk,2001,669913.0
TLI3,Inner London - West,2001,1016570.0
TLI4,Inner London - East,2001,1842805.0
TLI5,Outer London - East and North East,2001,1567762.0
TLI6,Outer London - South,2001,1152942.0
TLI7,Outer London - West and North West,2001,1742324.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2001,2102395.0
TLJ2,"Surrey, East and West Sussex",2001,2558218.0
TLJ3,Hampshire and Isle of Wight,2001,1781938.0
TLJ4,Kent,2001,1580898.0
TLK3,Cornwall and Isles of Scilly,2001,502077.0
TLK4,Devon,2001,1076487.0
TLK5,West of England,2001,805192.0
TLK6,"North Somerset, Somerset and Dorset",2001,1380972.0
TLK7,Gloucestershire and Wiltshire,2001,1178636.0
TLL3,North Wales,2001,664563.0
TLL4,Mid and South West Wales,2001,846368.0
TLL5,South East Wales,2001,1399301.0
TLM0,Eastern Scotland,2001,872820.0
TLM1,East Central Scotland,2001,924450.0
TLM2,Highlands and Islands,2001,590670.0
TLM3,West Central Scotland,2001,1447870.0
TLM5,North Eastern Scotland,2001,438850.0
TLM9,Southern Scotland,2001,925360.0
TLN0,Northern Ireland,2001,1688838.0
TLC3,Tees Valley,2002,652017.0
TLC4,"Northumberland, Durham and Tyne & Wear",2002,1888583.0
TLD1,Cumbria,2002,488681.0
TLD3,Greater Manchester,2002,2523214.0
TLD4,Lancashire,2002,1420076.0
TLD6,Cheshire,2002,867620.0
TLD7,Merseyside,2002,1485289.0
TLE1,East Yorkshire and Northern Lincolnshire,2002,880339.0
TLE2,North Yorkshire,2002,755274.0
TLE3,South Yorkshire,2002,1271309.0
TLE4,West Yorkshire,2002,2093189.0
TLF1,Derbyshire and Nottinghamshire,2002,1994738.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,1571435.0
TLF3,Lincolnshire,2002,655580.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,1230423.0
TLG2,Shropshire and Staffordshire,2002,1494456.0
TLG3,West Midlands,2002,2576364.0
TLH2,Bedfordshire and Hertfordshire,2002,1611904.0
TLH3,Essex,2002,1625032.0
TLH4,Cambridgeshire and Peterborough,2002,717710.0
TLH5,Norfolk,2002,803463.0
TLH6,Suffolk,2002,674579.0
TLI3,Inner London - West,2002,1030085.0
TLI4,Inner London - East,2002,1860838.0
TLI5,Outer London - East and North East,2002,1580804.0
TLI6,Outer London - South,2002,1153551.0
TLI7,Outer London - West and North West,2002,1751393.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,2104641.0
TLJ2,"Surrey, East and West Sussex",2002,2563405.0
TLJ3,Hampshire and Isle of Wight,2002,1787916.0
TLJ4,Kent,2002,1589230.0
TLK3,Cornwall and Isles of Scilly,2002,506814.0
TLK4,Devon,2002,1083011.0
TLK5,West of England,2002,807309.0
TLK6,"North Somerset, Somerset and Dorset",2002,1392054.0
TLK7,Gloucestershire and Wiltshire,2002,1186941.0
TLL3,North Wales,2002,666867.0
TLL4,Mid and South West Wales,2002,851105.0
TLL5,South East Wales,2002,1404904.0
TLM0,Eastern Scotland,2002,873820.0
TLM1,East Central Scotland,2002,925730.0
TLM2,Highlands and Islands,2002,592040.0
TLM3,West Central Scotland,2002,1445320.0
TLM5,North Eastern Scotland,2002,439510.0
TLM9,Southern Scotland,2002,925470.0
TLN0,Northern Ireland,2002,1697534.0
TLC3,Tees Valley,2003,652359.0
TLC4,"Northumberland, Durham and Tyne & Wear",2003,1888102.0
TLD1,Cumbria,2003,491329.0
TLD3,Greater Manchester,2003,2538555.0
TLD4,Lancashire,2003,1427668.0
TLD6,Cheshire,2003,871894.0
TLD7,Merseyside,2003,1485214.0
TLE1,East Yorkshire and Northern Lincolnshire,2003,887042.0
TLE2,North Yorkshire,2003,760090.0
TLE3,South Yorkshire,2003,1276501.0
TLE4,West Yorkshire,2003,2102681.0
TLF1,Derbyshire and Nottinghamshire,2003,2007042.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2003,1584841.0
TLF3,Lincolnshire,2003,663197.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2003,1237975.0
TLG2,Shropshire and Staffordshire,2003,1502020.0
TLG3,West Midlands,2003,2585480.0
TLH2,Bedfordshire and Hertfordshire,2003,1619584.0
TLH3,Essex,2003,1633493.0
TLH4,Cambridgeshire and Peterborough,2003,729521.0
TLH5,Norfolk,2003,810127.0
TLH6,Suffolk,2003,681408.0
TLI3,Inner London - West,2003,1035984.0
TLI4,Inner London - East,2003,1862579.0
TLI5,Outer London - East and North East,2003,1589139.0
TLI6,Outer London - South,2003,1153420.0
TLI7,Outer London - West and North West,2003,1753695.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2003,2115498.0
TLJ2,"Surrey, East and West Sussex",2003,2574651.0
TLJ3,Hampshire and Isle of Wight,2003,1797570.0
TLJ4,Kent,2003,1600205.0
TLK3,Cornwall and Isles of Scilly,2003,510734.0
