itl2_code,itl2_name,year,inflow,outflow,net_migration
TLI6,Outer London - South,2014,84987.0,88913.0,-3926.0
TLI7,Outer London - West and North West,2014,133498.0,157498.0,-24000.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2014,149367.0,150216.0,-849.0
TLJ2,"Surrey, East and West Sussex",2014,189275.0,176128.0,13147.0
TLJ3,Hampshire and Isle of Wight,2014,118622.0,116362.0,2260.0
TLJ4,Kent,2014,110812.0,99331.0,11481.0
TLK3,Cornwall and Isles of Scilly,2014,24389.0,20124.0,4265.0
TLK4,Devon,2014,80226.0,72231.0,7995.0
TLK5,West of England,2014,66847.0,67379.0,-532.0
TLK6,"North Somerset, Somerset and Dorset",2014,83560.0,72919.0,10641.0
TLK7,Gloucestershire and Wiltshire,2014,75886.0,68655.0,7231.0
TLL3,North Wales,2014,30423.0,29292.0,1131.0
TLL4,Mid and South West Wales,2014,40297.0,40747.0,-450.0
TLL5,South East Wales,2014,65929.0,66718.0,-789.0
TLC3,Tees Valley,2015,26916.0352,28228.0023,-1311.9671000000017
TLC4,"Northumberland, Durham and Tyne & Wear",2015,82035.1412,82112.9994,-77.8582000000024
TLD1,Cumbria,2015,16430.7621,15425.6866,1005.075499999999
TLD3,Greater Manchester,2015,135529.1753,136758.99539999999,-1229.8200999999826
TLD4,Lancashire,2015,82730.2614,83195.0046,-464.74319999999716
TLD6,Cheshire,2015,41121.0965,38016.9969,3104.0996000000014
TLD7,Merseyside,2015,62685.1553,60095.0027,2590.1526000000013
TLE1,East Yorkshire and Northern Lincolnshire,2015,36662.0669,38440.9973,-1778.9304000000047
TLE2,North Yorkshire,2015,41249.8557,39047.7114,2202.1443
TLE3,South Yorkshire,2015,53403.0705,55587.0028,-2183.9323000000004
TLE4,West Yorkshire,2015,96168.1712,100078.0027,-3909.8315000000002
TLF1,Derbyshire and Nottinghamshire,2015,128214.1049,124765.9997,3448.1052000000054
TLF2,"Leicestershire, Rutland and Northamptonshire",2015,99279.3536,95061.2139,4218.1397
TLF3,Lincolnshire,2015,44901.096300000005,42607.9991,2293.097200000004
TLG1,"Herefordshire, Worcestershire and Warwickshire",2015,67486.1967,63958.0001,3528.196600000003
TLG2,Shropshire and Staffordshire,2015,73480.2647,72795.9972,684.2675000000017
TLG3,West Midlands,2015,127986.1824,137373.9943,-9387.811899999986
TLH2,Bedfordshire and Hertfordshire,2015,114365.2221,111657.9967,2707.2253999999957
TLH3,Essex,2015,98773.156,93141.0031,5632.152900000001
TLH4,Cambridgeshire and Peterborough,2015,56476.099,55874.9979,601.1010999999999
TLH5,Norfolk,2015,51897.1048,47508.0084,4389.096400000002
TLH6,Suffolk,2015,38965.775299999994,35794.6911,3171.0841999999975
TLI3,Inner London - West,2015,120625.08899999999,133925.005,-13299.916000000012
TLI4,Inner London - East,2015,221306.0006,243465.0047,-22159.00409999999
TLI5,Outer London - East and North East,2015,120412.1042,130203.0082,-9790.903999999995
TLI6,Outer London - South,2015,85731.1091,89261.99710000001,-3530.8880000000063
TLI7,Outer London - West and North West,2015,133882.1563,163919.0026,-30036.846300000005
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2015,151565.4792,154433.1175,-2867.6382999999914
TLJ2,"Surrey, East and West Sussex",2015,185404.5981,175356.0127,10048.58540000001
TLJ3,Hampshire and Isle of Wight,2015,122554.2513,118246.9994,4307.251900000003
TLJ4,Kent,2015,107977.185,101025.0043,6952.180699999997
TLK3,Cornwall and Isles of Scilly,2015,24371.053799999998,19391.0016,4980.052199999998
TLK4,Devon,2015,77518.1525,69457.0035,8061.14899999999
TLK5,West of England,2015,68724.1023,63978.002700000005,4746.099599999994
TLK6,"North Somerset, Somerset and Dorset",2015,78104.7772,68300.3912,9804.385999999999
TLK7,Gloucestershire and Wiltshire,2015,73164.1516,65968.0024,7196.1492
TLL3,North Wales,2015,29903.022,29797.9998,105.02219999999943
TLL4,Mid and South West Wales,2015,40940.0832,40716.9954,223.08780000000115
TLL5,South East Wales,2015,66968.1381,68529.0057,-1560.8675999999978
TLC3,Tees Valley,2016,26769.0,27847.0,-1078.0
TLC4,"Northumberland, Durham and Tyne & Wear",2016,81182.0,79376.0,1806.0
TLD1,Cumbria,2016,16431.0,16027.0,404.0
TLD3,Greater Manchester,2016,136487.0,137164.0,-677.0
TLD4,Lancashire,2016,84886.0,84941.0,-55.0
TLD6,Cheshire,2016,41900.0,38469.0,3431.0
TLD7,Merseyside,2016,64301.0,60800.0,3501.0
TLE1,East Yorkshire and Northern Lincolnshire,2016,38894.0,37669.0,1225.0
TLE2,North Yorkshire,2016,41110.0,40114.0,996.0
TLE3,South Yorkshire,2016,54286.0,54399.0,-113.0
TLE4,West Yorkshire,2016,96757.0,99789.0,-3032.0
TLF1,Derbyshire and Nottinghamshire,2016,126862.0,121661.0,5201.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2016,99133.0,93491.0,5642.0
TLF3,Lincolnshire,2016,44760.0,41149.0,3611.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2016,69380.0,64609.0,4771.0
TLG2,Shropshire and Staffordshire,2016,74724.0,71101.0,3623.0
TLG3,West Midlands,2016,129558.0,136424.0,-6866.0
TLH2,Bedfordshire and Hertfordshire,2016,111014.0,109326.0,1688.0
TLH3,Essex,2016,97743.0,90628.0,7115.0
TLH4,Cambridgeshire and Peterborough,2016,55943.0,57219.0,-1276.0
TLH5,Norfolk,2016,52838.0,46302.0,6536.0
TLH6,Suffolk,2016,40077.0,37236.0,2841.0
TLI3,Inner London - West,2016,116460.0,138622.0,-22162.0
TLI4,Inner London - East,2016,215952.0,243233.0,-27281.0
TLI5,Outer London - East and North East,2016,116953.0,129766.0,-12813.0
TLI6,Outer London - South,2016,83331.0,90616.0,-7285.0
TLI7,Outer London - West and North West,2016,132879.0,163857.0,-30978.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2016,151035.0,157492.0,-6457.0
TLJ2,"Surrey, East and West Sussex",2016,183998.0,176098.0,7900.0
TLJ3,Hampshire and Isle of Wight,2016,121857.0,117344.0,4513.0
TLJ4,Kent,2016,106875.0,99483.0,7392.0
TLK3,Cornwall and Isles of Scilly,2016,24927.0,20081.0,4846.0
TLK4,Devon,2016,78705.0,69863.0,8842.0
TLK5,West of England,2016,67156.0,62021.0,5135.0
TLK6,"North Somerset, Somerset and Dorset",2016,78064.0,66734.0,11330.0
TLK7,Gloucestershire and Wiltshire,2016,72851.0,66183.0,6668.0
TLL3,North Wales,2016,30564.0,30905.0,-341.0
TLL4,Mid and South West Wales,2016,41416.0,40188.0,1228.0
TLL5,South East Wales,2016,68962.0,67592.0,1370.0
TLC3,Tees Valley,2017,30936.0,31680.0,-744.0
TLC4,"Northumberland, Durham and Tyne & Wear",2017,95502.0,90103.0,5399.0
TLD1,Cumbria,2017,16710.0,15717.0,993.0
TLD3,Greater Manchester,2017,153536.0,155818.0,-2282.0
TLD4,Lancashire,2017,86375.0,82816.0,3559.0
TLD6,Cheshire,2017,46144.0,41029.0,5115.0
TLD7,Merseyside,2017,73900.0,69423.0,4477.0
TLE1,East Yorkshire and Northern Lincolnshire,2017,43930.0,43006.0,924.0
TLE2,North Yorkshire,2017,51258.0,47930.0,3328.0
TLE3,South Yorkshire,2017,65920.0,66594.0,-674.0
TLE4,West Yorkshire,2017,112649.0,115907.0,-3258.0
TLF1,Derbyshire and Nottinghamshire,2017,156083.0,147159.0,8924.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2017,122295.0,111933.0,10362.0
TLF3,Lincolnshire,2017,57096.0,51892.0,5204.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2017,81498.0,74324.0,7174.0
TLG2,Shropshire and Staffordshire,2017,85062.0,79818.0,5244.0
TLG3,West Midlands,2017,156734.0,165687.0,-8953.0
TLH2,Bedfordshire and Hertfordshire,2017,125701.0,134357.0,-8656.0
TLH3,Essex,2017,113397.0,107743.0,5654.0
TLH4,Cambridgeshire and Peterborough,2017,63201.0,64564.0,-1363.0
TLH5,Norfolk,2017,65653.0,57893.0,7760.0
TLH6,Suffolk,2017,46417.0,42627.0,3790.0
TLI3,Inner London - West,2017,118248.0,133787.0,-15539.0
TLI4,Inner London - East,2017,226035.0,260615.0,-34580.0
TLI5,Outer London - East and North East,2017,132568.0,156207.0,-23639.0
TLI6,Outer London - South,2017,93848.0,103902.0,-10054.0
TLI7,Outer London - West and North West,2017,155805.0,191676.0,-35871.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2017,159973.0,169191.0,-9218.0
TLJ2,"Surrey, East and West Sussex",2017,207275.0,201963.0,5312.0
TLJ3,Hampshire and Isle of Wight,2017,129957.0,125476.0,4481.0
TLJ4,Kent,2017,110959.0,103049.0,7910.0
TLK3,Cornwall and Isles of Scilly,2017,29004.0,21314.0,7690.0
TLK4,Devon,2017,90695.0,77341.0,13354.0
TLK5,West of England,2017,74752.0,71616.0,3136.0
TLK6,"North Somerset, Somerset and Dorset",2017,88818.0,78802.0,10016.0
TLK7,Gloucestershire and Wiltshire,2017,84865.0,76663.0,8202.0
TLL3,North Wales,2017,28288.0,27930.0,358.0
TLL4,Mid and South West Wales,2017,40431.0,38761.0,1670.0
TLL5,South East Wales,2017,65785.0,62026.0,3759.0
TLC3,Tees Valley,2018,30526.0,32454.0,-1928.0
TLC4,"Northumberland, Durham and Tyne & Wear",2018,97750.0,90727.0,7023.0
TLD1,Cumbria,2018,16680.0,15104.0,1576.0
TLD3,Greater Manchester,2018,153140.0,155611.0,-2471.0
TLD4,Lancashire,2018,84229.0,80680.0,3549.0
TLD6,Cheshire,2018,46238.0,41310.0,4928.0
TLD7,Merseyside,2018,76476.0,71273.0,5203.0
TLE1,East Yorkshire and Northern Lincolnshire,2018,42200.0,42193.0,7.0
TLE2,North Yorkshire,2018,50595.0,47396.0,3199.0
TLE3,South Yorkshire,2018,67490.0,65395.0,2095.0
TLE4,West Yorkshire,2018,112717.0,116699.0,-3982.0
TLF1,Derbyshire and Nottinghamshire,2018,153472.0,145491.0,7981.0
TLF2,"Leicestershire, Rutland and Northamptonshire",2018,117971.0,112793.0,5178.0
TLF3,Lincolnshire,2018,55521.0,50260.0,5261.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",2018,81925.0,73335.0,8590.0
TLG2,Shropshire and Staffordshire,2018,84169.0,77212.0,6957.0
TLG3,West Midlands,2018,152965.0,166657.0,-13692.0
TLH2,Bedfordshire and Hertfordshire,2018,121303.0,128662.0,-7359.0
TLH3,Essex,2018,111487.0,105693.0,5794.0
TLH4,Cambridgeshire and Peterborough,2018,62952.0,63404.0,-452.0
